nombre,descripcion,precio
BRASAS,"Aguardiente, ron, vodka, ginebra, tequila, triple sec, whisky, cereza, zumo de naranja, arándano.",16.900
RULETA RUSA,"Tequila, Limón, Cerveza Corona.",25.900
MARGARITA CORONA,"Tequila, fresas.",25.900
MARGARITA FRESA,"Tequila, limón o mandarina.",16.900
MARGARITA LIMÓN O MANDARINA,"Ron, mandarina.",16.900
LONG ISLAND ICE TEA,"Ron, vodka, ginebra, tequila, triple sec.",19.900
RUM PUNCH,"Tequila, naranja, granadina.",16.900
TEQUILA SUNRISE,"Ron, coco, piña, crema de leche.",16.900
PIÑA COLADA,"Brandy, crema de café, crema de leche.",16.900
ALEXANDER,"Ginebra, gotas amargas, soda, azúcar, limón, frutos rojos.",16.900
TOM COLLINS,"Ginebra, cinzano, aceituna.",16.900
DRY MARTINI,"Aguardiente, azúcar, limón.",16.900
CAIPIRINHA,"Ron, soda, yerbabuena, azúcar.",16.900
MOJITO,"Mandarina, fresa, ginebra, tequila, ron.",16.900
BLOODY MARY,"Vodka, jugo de tomate, zumo de Limón, salsa, Tabasco.",16.900
COSMOPOLITAN,"Vodka, triple sec, limón y arándano.",16.900
