nombre,descripcion,precio
New York Steak,350 gr. de carne de res Certified Angus Beefea la parrilla. Salsa Recomendada: BBQ Wasabi / $ 41.900,
Short Rib,"280 gr. de costilla de res Certified Angus Beef sin hueso, asada a la parrilla. Salsa recomendada: Ahumada de whisky / $ 39.500",
Top Sirloin Steak,"350 gr. de punta de anca Certified Angus Beef asada a la parrilla, servida en medallones. Salsa recomendada: Chimichurri / $ 42.900",
Sirloin Steak,"260 gr. de carne de res Brangus, asada a la parrilla. Salsa Recomendada: Queso Azul / $ 24.700",
Beef Tenderloin,"250 gr. carne madurada asada a la parrilla, servida en medallones, corte grueso, o abierto. Salsa recomendada: Pimienta con Champiñones/ $ 32.700",
"Rib Eye Steak ""Sugerencia término medio""","340 gr. de carne de res Brangus asada a la parrilla, servida en corte grueso. Salsa recomendada; Mostaza Wasabi / $ 28.900",
Pork Teiiderloin,"300 gr. de lomo del cerdo servido en medallones asado a la parrilla, servido en medallones con un toque de chimichurri de la casa. Salsa recomendada: Miel Mostaza Wasabi/ $ 22.900",
St. Louis Style Ribs,"390 gr. de costillas de cerdo, asadas a la parrilla, horneadas y bañadas en salsa BBQ / $ 28.500 1.200 gr. Rack / $ 75.900",
Pork Chop,350 gr. de chuleta en corte grueso asada a la parrilla. Salsa Recomendada: BBQ de Wasabi / $ 25.300,
Crusted Chicken,"280 gr. de pechuga encostrada en hierbas, asada a la parrilla, servida en espinacas con mantequilla. Salsa Recomendada: Caramelo Bourbon / $ 21.900",
Surf And Turf,Nuestra preparación de mar y tierra. 250 gr. de carne de res Brangus asada y acompañada de langostinos a la parrilla. Salsa Recomendada: Mostaza Wasabi / $ 40.900,
Bahía BP,"Medallón de atún a la parrilla , acompañado de camarón, calamar y pulpo. Salsa Recomendada: Miel Mostaza Wasabi / $ 31.900",
"Tuna Steak ""Sugerencia rojo en el centro""","250 gr. de atún del Pacífico, asado a la parrilla y servido sobre un picadillo de mango y zanahoria. Salsa Recomendada: Tártara. / $ 23.500",
Crusted Salmon,"250 gr. de salmón chileno, asado a la parrilla y servido con un encurtido de rábanos y cebolla morada. Salsa Recomendada: Maíz. / $ 29.600",
